S.No ,Title,Links
1,Data Structures,https://rank.sanfoundry.com/data-structures-i-tests
2,Data Structures,https://rank.sanfoundry.com/data-structures-ii-tests
3,OPERATING SYSTEM,https://rank.sanfoundry.com/operating-system-tests
4,Computer Architecture,https://rank.sanfoundry.com/computer-organization-architecture-tests
5,Software Engineering,https://rank.sanfoundry.com/software-engineering-tests
6,Computer Network,https://rank.sanfoundry.com/computer-networks-tests
7,Microcontroller,https://rank.sanfoundry.com/microcontroller-tests
8,Dbms ,https://rank.sanfoundry.com/database-management-system-tests
9,OOPS,https://rank.sanfoundry.com/object-oriented-programming-tests
10,Artificial Intelligence,https://rank.sanfoundry.com/artificial-intelligence-tests
11,Cloud computing,https://rank.sanfoundry.com/cloud-computing-tests
12,Microprocessor,https://rank.sanfoundry.com/microprocessor-tests
13,Discreet Mathematics,https://rank.sanfoundry.com/discreet-mathematics-tests
